timestamp,close,Chaikin_oscillator,CCI,williams_percentage,PSAR,Keltner_channels_upperband,Keltner_channels_lowerband,TRIX,Ultimate_oscillator,ad_indicator,Donchian_channel_upper,Donchian_channel_lower,Donchian_channel_middle,SMA_short,SMA_long,EMA_short,EMA_long,RSI,MACD,MACD_signal,MACD_histogram,Stochastic_oscillator,VWAP,bollinger_band_lower,bollinger_band_upper,ADX,return,target
2018-03-01 00:00:00+00:00,10929.37,-57920971.66285866,74.58043455843222,-9.58784138029637,10142.14688775068,11190.338985774893,9464.10560283379,0.22693475202963068,0.5355529496027073,10054991131.266127,11802.23,7862.31,9832.27,9488.248666666668,11266.539833333334,10230.346087059981,10877.816692027945,56.65991469312727,96.00295687634207,-41.91550921981603,137.9184660961581,90.86071578660435,11192.822467478349,8174.729709211042,11802.987290788955,32.76579235664299,2.917707856943984,1
2018-03-02 00:00:00+00:00,11043.12,-11202443.535859048,93.55657080501165,-14.34133179146185,10236.962198975612,11234.570292854534,9680.201991259493,0.2753945887141143,0.5231428119941977,10257794156.345064,11802.23,7862.31,9832.27,9515.457333333334,11226.5105,10282.783113701273,10883.236472617193,56.392522217716426,150.33799354613984,-3.464808666624858,153.8028022127647,91.63988944565537,11191.225425201777,8370.026036790936,11855.073963209063,31.74421347111533,2.5456767325152674,1
2018-03-03 00:00:00+00:00,11465.36,112114724.72746406,118.79826806882204,-5.089237004130563,10351.559535098539,11365.17621015639,9916.133470430024,0.33823634986782614,0.5334939023757084,10852425803.08783,11802.23,8084.41,9943.32,9593.812,11171.697666666667,10359.078396688288,10902.32248990843,52.970633374700846,224.87788844645183,42.203730755990485,182.67415769046136,95.25580854680989,11192.52068511434,8720.95793097988,11842.21706902012,31.11404884442164,2.86570458327911,1
2018-03-04 00:00:00+00:00,11504.42,191391232.927522,113.96755514468991,-2.7371288392933737,10516.633600184743,11473.362703477478,10122.044414141388,0.40583753095162645,0.569436193335163,11435947794.575325,11802.23,8379.35,10090.79,9681.598666666665,11110.827666666668,10432.971403353562,10922.063391878646,59.78468455982015,283.83127746012724,90.52924009681783,193.3020373633094,97.26287116070662,11193.814654933394,8899.866401591831,11922.623598408167,30.795110976843212,1.4710889103839706,1
2018-03-05 00:00:00+00:00,11440.73,-66218356.50671846,126.9739389511064,-28.388036294387856,10680.338624155183,11515.1750497931,10314.060483045914,0.4686260043683116,0.5367235963094998,10699812615.208899,11802.23,8542.98,10172.605,9754.580666666669,11048.505166666668,10497.98808700817,10939.068854440002,52.66212215787943,321.70460187300705,136.76431245205566,184.9402894209514,82.48156008267719,11196.445571802624,9257.730727217227,11854.363272782773,30.827109437096258,-0.2566657686852114,0
2018-03-06 00:00:00+00:00,10735.45,-253546035.12436855,45.15676874288176,-86.77038927656645,10680.338624155183,11528.38325113931,10235.700225655082,0.5012199110861696,0.4967801072661882,9904756754.494608,11802.23,9329.44,10565.835,9838.493999999999,10944.849666666667,10513.308210427,10932.392826425576,45.25116036562912,291.4496326594726,167.70137649353907,123.74825616593355,13.229610723433543,11193.125520724701,9420.729636154803,11816.345363845197,30.501953623033877,-4.377148863143778,-1
2018-03-07 00:00:00+00:00,9928.56,-349654007.1174936,-76.42445141788731,-79.40874868445907,10680.338624155183,11499.864427713188,9917.497803077442,0.48727484811636773,0.5041110105099981,9225463163.477018,11802.23,9329.44,10565.835,9938.210000000001,10824.120666666666,10475.58251943171,10899.48027473949,44.987729861204244,200.05694016842062,174.17248922851542,25.884450939905207,20.59125131554092,11173.25224552873,9403.791657759093,11822.764342240907,30.492963593138533,-7.223419345554602,-1
2018-03-08 00:00:00+00:00,9316.72,-444376336.53803426,-150.30687399055537,-91.18359989260925,10680.338624155183,11290.63059231272,9620.563226934091,0.4259201829767237,0.4768559131057593,8397763301.182253,11802.23,9086.85,10444.54,9992.059000000001,10708.93,10400.817195597407,10847.586495239833,45.16667879758352,77.36537835726995,154.81106705426632,-77.44568869699637,8.81640010739075,11149.198617539987,9238.957605524625,11900.397394475374,30.84993319719288,-6.772917137107752,-1
2018-03-09 00:00:00+00:00,9252.76,9831129.011936348,-175.7870676816151,-71.80926448395775,10616.599079188976,11109.18663321026,9364.611427776328,0.33620683533411877,0.4971974733316527,9756292859.29892,11802.23,8393.45,10097.84,10047.393666666667,10613.539833333334,10326.748989429834,10795.297101953282,41.18168734386975,-24.744368114226745,118.89998002056771,-143.64434813479446,26.034174569030803,11107.282679559716,9048.634750430841,11906.275249569158,31.656434622723502,-2.595827642883505,-1
2018-03-10 00:00:00+00:00,8797.27,-209947563.62202933,-147.48794523752184,-83.97698641007838,10483.210134437637,10832.690613599,9117.60547411324,0.21963562562440272,0.4698924518647268,8862904412.592072,11802.23,8393.45,10097.84,10065.279666666667,10519.019333333334,10228.072925595652,10729.788016643337,41.29447344817277,-140.79827924586425,66.96032816728132,-207.75860741314557,13.247818384620427,11085.962787985527,8781.693809604341,12011.22019039566,32.701780314898706,-3.562498287155048,-1
