timestamp,open,high,low,close,volume
2018-01-01 00:00:00+00:00,331.86,343.52,319.85,339.75,66082004.31
2018-01-02 00:00:00+00:00,339.48,397.92,341.85,365.31,127501971.35
2018-01-03 00:00:00+00:00,365.31,393.77,363.0,386.8,92440713.44
2018-01-04 00:00:00+00:00,386.49,397.72,369.03,371.91,69743095.27
2018-01-05 00:00:00+00:00,371.76,416.75,349.95,356.39,100755406.79
2018-01-06 00:00:00+00:00,356.56,405.27,353.41,393.76,106272927.92
2018-01-07 00:00:00+00:00,393.81,413.66,371.62,402.95,122397876.27
2018-01-08 00:00:00+00:00,403.11,405.7,365.87,401.96,93786253.34
2018-01-09 00:00:00+00:00,401.66,427.25,379.8,410.33,123541470.85
2018-01-10 00:00:00+00:00,410.32,435.35,403.87,406.56,106588854.3
2018-01-11 00:00:00+00:00,406.58,378.35,351.2,353.73,80929210.47
2018-01-12 00:00:00+00:00,353.86,394.75,364.44,391.01,69684835.93
2018-01-13 00:00:00+00:00,391.01,444.67,398.81,418.18,105594039.77
2018-01-14 00:00:00+00:00,418.21,457.3,391.7,396.2,91978555.03
2018-01-15 00:00:00+00:00,395.79,444.27,391.37,415.23,117986045.65
2018-01-16 00:00:00+00:00,415.31,359.8,285.9,316.25,131341151.59
2018-01-17 00:00:00+00:00,313.11,327.31,237.83,319.17,41445492.55
2018-01-18 00:00:00+00:00,320.93,329.34,308.11,311.8,72779224.21
2018-01-19 00:00:00+00:00,311.91,370.66,320.07,364.66,93329924.29
2018-01-20 00:00:00+00:00,364.9,411.39,377.89,384.29,94450889.7
2018-01-21 00:00:00+00:00,384.27,354.58,340.84,347.77,57091627.65
2018-01-22 00:00:00+00:00,347.77,325.84,307.67,314.38,54746348.72
2018-01-23 00:00:00+00:00,314.38,316.52,301.21,308.92,60429204.95
2018-01-24 00:00:00+00:00,308.79,330.76,320.24,320.93,55079875.16
2018-01-25 00:00:00+00:00,321.02,316.95,310.47,316.72,31127140.11
2018-01-26 00:00:00+00:00,316.72,327.24,309.03,323.47,52807939.94
2018-01-27 00:00:00+00:00,323.47,335.77,322.25,322.93,34761884.65
2018-01-28 00:00:00+00:00,322.95,337.03,324.44,332.09,40499419.11
2018-01-29 00:00:00+00:00,332.09,320.39,311.97,314.78,28730383.31
2018-01-30 00:00:00+00:00,314.79,285.33,269.56,274.92,49999268.12
2018-01-31 00:00:00+00:00,274.92,284.31,271.42,273.47,39680290.0
2018-02-01 00:00:00+00:00,273.36,250.47,237.71,240.9,37366222.96
2018-02-02 00:00:00+00:00,240.99,245.37,211.66,236.41,62590690.68
